11/30/12 04:44:31,374 [5048] INFO root - El usuario con id: 1 y nombre:  registro un usuario. En el MODULO: gestionUsuarioM CLASE: guardar FUNCION: 137 LINEA: 
INFO - El usuario con id: 1 y nombre:  registro un usuario. En el MODULO: gestionUsuarioM CLASE: guardar FUNCION: 137 LINEA: 
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 157
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 157
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 157
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 157
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 158
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 158
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 157
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 157
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 157
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 157
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: . En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 157
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 159
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 159
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 160
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 159
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 159
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 159
INFO - El usuario con id: 2 y nombre:  Activo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: actdes LINEA: 183
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 159
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 159
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 159
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 162
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 162
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 162
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 162
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 162
INFO - El usuario con id: 2 y nombre:  Actualizo un usuario desde la ip: 127.0.0.1. En el MODULO: gestionUsuario CLASE: gestionUsuarioM FUNCION: modificar LINEA: 162
